Saison,Âge,Équipe,Comp,Titulaire,Min,Buts_x,PD_x,B-PénM,PénM_x,PénT_x,PrgC_x,PrgP_x,PrgR,Buts_y,Tirs_x,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM_y,PénT_y,Touches,SurfRépDéf,ZDéf_x,MilTer_x,ZOff_x,SurfRépOff,Action de jeu,Att_x,Succ,Succ%,Tkld,Tkld%,Balle au pied,TotDist_x,DistBut_x,PrgC_y,1/3_x,Cmp,Att_y,Cmp%,TotDist_y,DistBut_y,PD_y,xAG,xA,A-xAG,PC,1/3_y,PPA,CntSR,PrgP_y,AMT,PassLive,PassDead,TO,Tirs_y,Ftp,Déf,AMB,Tcl,TclR,ZDéf_y,MilTer_y,ZOff_y,Tcl.1,Att,Tcl%,Balles contrées,Tirs,Passe,Int,Tcl+Int,Dég
2021-2022,30,Atlético Madrid,1. La Liga,21,1695,3,4,3,0,0,39.0,53.0,126.0,3,43.0,14.0,32.6,2.28,0.74,0.07,0.21,16.3,3.0,0,0,890.0,16.0,102.0,423.0,377.0,70.0,890.0,29.0,19.0,65.5,10.0,34.5,474.0,2408.0,1114.0,39.0,33.0,544.0,704.0,77.3,7532.0,1658.0,4,3.1,3.0,0.9,26.0,38.0,12.0,0.0,53.0,49.0,36.0,8.0,1.0,1.0,2.0,1.0,10.0,30.0,14.0,11.0,15.0,4.0,12.0,32.0,37.5,18.0,1.0,17.0,7.0,37.0,18.0
2021-2022,30,Atlético Madrid,Copa del Rey,0,34,1,0,1,0,0,-1.0,-1.0,-1.0,1,1.0,1.0,100.0,2.65,2.65,1.0,1.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2022-2023,31,Atlético Madrid,1. Champions Lg,4,406,1,1,1,0,1,8.0,26.0,27.0,1,20.0,11.0,55.0,4.43,2.44,0.05,0.09,16.3,1.0,0,1,299.0,3.0,30.0,141.0,130.0,24.0,298.0,4.0,4.0,100.0,0.0,0.0,192.0,892.0,423.0,8.0,4.0,190.0,245.0,77.6,3009.0,699.0,1,1.2,0.8,-0.2,9.0,15.0,7.0,1.0,26.0,21.0,14.0,2.0,2.0,2.0,0.0,1.0,1.0,7.0,5.0,3.0,3.0,1.0,4.0,7.0,57.1,5.0,1.0,4.0,2.0,9.0,1.0
2022-2023,31,Atlético Madrid,1. La Liga,31,2859,15,16,15,0,0,99.0,171.0,202.0,15,111.0,44.0,39.6,3.49,1.39,0.14,0.34,17.6,5.0,0,0,1971.0,45.0,247.0,933.0,818.0,153.0,1970.0,83.0,47.0,56.6,28.0,33.7,1104.0,5999.0,3089.0,99.0,66.0,1236.0,1597.0,77.4,18976.0,5448.0,16,13.8,9.8,2.2,84.0,117.0,58.0,13.0,171.0,162.0,111.0,23.0,10.0,7.0,8.0,3.0,26.0,49.0,34.0,15.0,23.0,11.0,20.0,66.0,30.3,34.0,3.0,31.0,24.0,73.0,31.0
2022-2023,31,Atlético Madrid,Copa del Rey,4,360,0,1,0,0,0,-1.0,-1.0,-1.0,0,6.0,2.0,33.3,1.5,0.5,0.0,0.0,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0
2023-2024,32,Atlético Madrid,1. Champions Lg,10,818,6,1,6,0,1,25.0,67.0,57.0,6,21.0,9.0,42.9,2.31,0.99,0.29,0.67,12.8,0.0,0,1,611.0,15.0,65.0,292.0,259.0,47.0,610.0,15.0,5.0,33.3,9.0,60.0,326.0,1520.0,838.0,25.0,13.0,413.0,512.0,80.7,6711.0,1932.0,1,3.1,1.9,-2.1,27.0,39.0,21.0,3.0,67.0,49.0,34.0,12.0,1.0,1.0,1.0,0.0,4.0,12.0,9.0,5.0,6.0,1.0,2.0,13.0,15.4,9.0,1.0,8.0,6.0,18.0,11.0
2023-2024,32,Atlético Madrid,1. La Liga,31,2644,16,6,12,4,4,43.0,118.0,196.0,16,75.0,29.0,38.7,2.55,0.99,0.16,0.41,17.3,3.0,4,4,1654.0,35.0,215.0,769.0,681.0,113.0,1650.0,38.0,22.0,57.9,15.0,39.5,839.0,3612.0,1843.0,43.0,36.0,1062.0,1383.0,76.8,16588.0,4212.0,6,5.6,5.8,0.4,43.0,86.0,34.0,2.0,118.0,107.0,68.0,21.0,4.0,10.0,2.0,2.0,11.0,33.0,19.0,14.0,14.0,5.0,15.0,41.0,36.6,34.0,3.0,31.0,10.0,43.0,23.0
2023-2024,32,Atlético Madrid,Copa del Rey,3,320,1,0,1,0,1,-1.0,-1.0,-1.0,1,11.0,4.0,36.4,3.09,1.13,0.09,0.25,-1.0,-1.0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,-1.0,-1.0
2023-2024,32,Atlético Madrid,Supercopa de España,1,120,1,1,1,0,0,-1.0,-1.0,-1.0,1,4.0,3.0,75.0,3.0,2.25,0.25,0.33,-1.0,-1.0,0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2024-2025,33,Atlético Madrid,1. Champions Lg,2,134,1,1,1,0,0,4.0,8.0,11.0,1,5.0,1.0,20.0,3.36,0.67,0.2,1.0,15.8,0.0,0,0,107.0,0.0,10.0,51.0,47.0,7.0,107.0,2.0,2.0,100.0,0.0,0.0,69.0,295.0,142.0,4.0,2.0,70.0,91.0,76.9,1080.0,299.0,1,0.3,0.4,0.7,3.0,9.0,2.0,1.0,8.0,9.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,4.0,0.0
2024-2025,33,Atlético Madrid,1. La Liga,7,667,2,4,2,0,0,15.0,40.0,52.0,2,8.0,3.0,37.5,1.08,0.4,0.25,0.67,18.6,2.0,0,0,426.0,9.0,70.0,180.0,181.0,21.0,426.0,8.0,3.0,37.5,4.0,50.0,238.0,1167.0,646.0,15.0,15.0,266.0,371.0,71.7,4513.0,1284.0,4,1.7,2.1,2.3,17.0,24.0,16.0,2.0,40.0,26.0,21.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,0.0,0.0,1.0,7.0,14.3,8.0,0.0,8.0,3.0,8.0,7.0
