Team Name,Team URL
Monaco,https://fbref.com/en/squads/fd6114db/Monaco-Stats/
Paris S-G,https://fbref.com/en/squads/e2d8892c/Paris-Saint-Germain-Stats/
Barcelona,https://fbref.com/en/squads/206d90db/Barcelona-Stats/
Bayern Munich,https://fbref.com/en/squads/054efa67/Bayern-Munich-Stats/
Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats/
Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats/
Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats/
Eint Frankfurt,https://fbref.com/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats/
Real Madrid,https://fbref.com/en/squads/53a2f082/Real-Madrid-Stats/
Napoli,https://fbref.com/en/squads/d48ad4ff/Napoli-Stats/
RB Leipzig,https://fbref.com/en/squads/acbb6a5b/RB-Leipzig-Stats/
Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats/
Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats/
Juventus,https://fbref.com/en/squads/e0652b02/Juventus-Stats/
Marseille,https://fbref.com/en/squads/5725cc7b/Marseille-Stats/
Atlético Madrid,https://fbref.com/en/squads/db3b9613/Atletico-Madrid-Stats/
Inter,https://fbref.com/en/squads/d609edc0/Internazionale-Stats/
Freiburg,https://fbref.com/en/squads/a486e511/Freiburg-Stats/
Villarreal,https://fbref.com/en/squads/2a8183b3/Villarreal-Stats/
Lille,https://fbref.com/en/squads/cb188c0c/Lille-Stats/
Udinese,https://fbref.com/en/squads/04eea015/Udinese-Stats/
Milan,https://fbref.com/en/squads/dc56fe14/Milan-Stats/
Leverkusen,https://fbref.com/en/squads/c7a9f859/Bayer-Leverkusen-Stats/
Reims,https://fbref.com/en/squads/7fdd64e0/Reims-Stats/
Union Berlin,https://fbref.com/en/squads/7a41008f/Union-Berlin-Stats/
Heidenheim,https://fbref.com/en/squads/18d9d2a7/Heidenheim-Stats/
Athletic Club,https://fbref.com/en/squads/2b390eca/Athletic-Club-Stats/
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats/
Tottenham,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats/
Lens,https://fbref.com/en/squads/fd4e0f7d/Lens-Stats/
Empoli,https://fbref.com/en/squads/a3d88bd8/Empoli-Stats/
Lazio,https://fbref.com/en/squads/7213da33/Lazio-Stats/
Dortmund,https://fbref.com/en/squads/add600ae/Dortmund-Stats/
Osasuna,https://fbref.com/en/squads/03c57e2b/Osasuna-Stats/
Stuttgart,https://fbref.com/en/squads/598bc722/Stuttgart-Stats/
Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats/
Torino,https://fbref.com/en/squads/105360fe/Torino-Stats/
Mallorca,https://fbref.com/en/squads/2aa12281/Mallorca-Stats/
Roma,https://fbref.com/en/squads/cf74a709/Roma-Stats/
Nantes,https://fbref.com/en/squads/d7a486cd/Nantes-Stats/
Strasbourg,https://fbref.com/en/squads/c0d3eab4/Strasbourg-Stats/
Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats/
Nott'ham Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats/
Betis,https://fbref.com/en/squads/fc536746/Real-Betis-Stats/
Rayo Vallecano,https://fbref.com/en/squads/98e8af82/Rayo-Vallecano-Stats/
Celta Vigo,https://fbref.com/en/squads/f25da7fb/Celta-Vigo-Stats/
Atalanta,https://fbref.com/en/squads/922493f3/Atalanta-Stats/
Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats/
Nice,https://fbref.com/en/squads/132ebc33/Nice-Stats/
Mainz 05,https://fbref.com/en/squads/a224b06a/Mainz-05-Stats/
Werder Bremen,https://fbref.com/en/squads/62add3bf/Werder-Bremen-Stats/
Hellas Verona,https://fbref.com/en/squads/0e72edf2/Hellas-Verona-Stats/
Alavés,https://fbref.com/en/squads/8d6fd021/Alaves-Stats/
Wolfsburg,https://fbref.com/en/squads/4eaa11d7/Wolfsburg-Stats/
Fiorentina,https://fbref.com/en/squads/421387cf/Fiorentina-Stats/
Bologna,https://fbref.com/en/squads/1d8099f8/Bologna-Stats/
