player_name,Position,Age
Nicolas Jackson,CF,23
Enzo Fernández,CM,23
Noni Madueke,RW,22
Malo Gusto,RB,21
Jadon Sancho,LW,24
Pedro Neto,RW,24
Christopher Nkunku,AM,26
Tosin Adarabioyo,CB,27
Axel Disasi,CB,26
Mykhailo Mudryk,LW,23
João Félix,SS,24
Kiernan Dewsbury-Hall,CM,26
Benoît Badiashile,CB,23
Cesare Casadei,CM,21
Pau Torres,CB,27
Youri Tielemans,CM,27
Morgan Rogers,AM,22
Ezri Konsa,CB,27
Ollie Watkins,CF,28
Lucas Digne,LB,31
Amadou Onana,DM,23
John McGinn,CM,30
Leon Bailey,RW,27
Jacob Ramsey,AM,23
Matty Cash,RB,27
Diego Carlos,CB,31
Ross Barkley,CM,30
Jaden Philogene Bidace,LW,22
Jhon Durán,CF,20
Ian Maatsen,LB,22
Dušan Vlahović,CF,24
Andrea Cambiaso,LB,24
Gleison Bremer,CB,27
Kenan Yıldız,SS,19
Manuel Locatelli,DM,26
Federico Gatti,CB,26
Koopmeiners,AM,26
Pierre Kalulu,CB,24
Nicolò Fagioli,CM,23
Nicolás González,RW,26
Juan David Cabal,LB,23
Weston McKennie,CM,26
Khéphren Thuram,CM,23
Douglas Luiz,CM,26
Francisco Conceição,RW,21
Danilo,CB,33
Danilo,CB,33
Timothy Weah,RM,24
Michael Amir Murillo,RB,28
Pierre Højbjerg,DM,29
Mason Greenwood,RW,23
Luis Henrique,LW,22
Geoffrey Kondogbia,DM,31
Amine Harit,AM,27
Lilian Brassier,CB,24
Elye Wahi,CF,21
Leonardo Balerdi,CB,25
Quentin Merlin,LB,22
Neal Maupay,CF,28
Ismaël Koné,CM,22
Valentin Rongier,CM,29
Pol Lirola,RB,27
Ulisses Garcia,LB,28
Valentin Carboni,AM,19
Jon Rowe,LW,21
Adrien Rabiot,CM,29
Bamo Meïté,CB,22
Faris Pemi Moumbagna,CF,24
Antoine Griezmann,CF,33
Koke,CM,32
Robin Le Normand,CB,27
Marcos Llorente,RM,29
José María Giménez,CB,29
Julián Álvarez,CF,24
Conor Gallagher,CM,24
Alexander Sørloth,CF,28
Samuel Lino,LM,24
Reinildo Mandava,LB,30
César Azpilicueta,CB,35
Nahuel Molina,RB,26
Pablo Barrios,CM,21
Rodrigo De Paul,CM,30
Axel Witsel,CB,35
Rodrigo Riquelme,LW,24
Javi Galán,LB,29
Giuliano Simeone,CF,21
Clément Lenglet,CB,29
Ángel Correa,RW,29
Federico Dimarco,LB,26
Marcus Thuram,CF,27
Henrikh Mkhitaryan,CM,35
Francesco Acerbi,CB,36
Lautaro Martínez,CF,27
Alessandro Bastoni,CB,25
Matteo Darmian,RB,34
Hakan Çalhanoğlu,DM,30
Benjamin Pavard,CB,28
Nicolò Barella,CM,27
Davide Frattesi,CM,25
Yann Aurel Bisseck,CB,23
Mehdi Taremi,CF,32
Carlos Augusto,LB,25
Denzel Dumfries,RB,28
Kristjan Asllani,DM,22
Stefan de Vrij,CB,32
Piotr Zieliński,CM,30
Marko Arnautović,CF,35
Alessandro Fontanarosa,CB,21
Tiago Palacios,CB,21
Christian Günter,LB,31
Maximilian Eggestein,CM,27
Ritsu Doan,RW,26
Junior Adamu,CF,23
Philipp Lienhart,CB,28
Vincenzo Grifo,LW,31
Lukas Kübler,RB,32
Patrick Osterhage,CM,24
Matthias Ginter,CB,30
Eren Dinkçi,RW,22
Merlin Röhl,AM,22
Lucas Höler,CF,30
Florent Muslija,LW,26
Nicolas Höfler,DM,34
Noah Weißhaupt,LW,23
Roland Sallai,RW,27
Jordy Makengo,LB,23
Michael Gregoritsch,CF,30
Kiliann Sildillia,RB,22
Kiko Femenía,RB,33
Sergi Cardona,LB,25
Santi Comesaña,CM,28
Daniel Parejo,CM,35
Alex Baena,LW,23
Logan Costa,CB,23
Logan Costa,CB,23
Raúl Albiol,CB,39
Thierno Barry,CF,22
Eric Bailly,CB,30
Pape Gueye,DM,25
Ayoze Pérez,LW,31
Ilias Akhomach,RW,20
Arnaut Danjuma,LW,27
Arnaut Danjuma,LW,27
Gerard Moreno,CF,32
Ramón Terrats,DM,24
Pau Navarro,CB,19
Antonio Espigare,CB,20
Daniel Requena,CM,20
Bafodé Diakité,CB,23
Alexsandro Ribeiro,CB,25
Benjamin André,DM,34
Gabriel Gudmundsson,LB,25
Edon Zhegrova,RW,25
Angel Gomes,AM,24
Jonathan David,CF,24
Osame Sahraoui,LW,23
Tiago Santos,RB,22
Thomas Meunier,RB,33
Aïssa Mandi,CB,33
Rémy Cabella,AM,34
André Gomes,CM,31
Mohamed Lamine Bayo,CF,26
Hákon Arnar Haraldsson,LW,21
Ngal'Ayel Mukau,DM,19
Ismaily,LB,34
Mitchel Bakker,LB,24
Mitchel Bakker,LB,24
Jaka Bijol,CB,25
Kingsley Ehizibue,RB,29
Jesper Karlström,DM,29
Lorenzo Lucca,CF,24
Florian Thauvin,RW,31
Brenner,CF,24
Christian Kabasele,CB,33
Hassane Kamara,LB,30
Sandi Lovrić,CM,26
Lautaro Gianetti,CB,30
Jordan Zemura,LB,24
Martín Payero,CM,26
Jurgen Ekkelenkamp,AM,24
Oier Zarraga,CM,25
Souleymane Touré,Attack,22
Thomas Kristensen,CB,22
Nehuén Pérez,CB,24
Arthur Atta,DM,21
Festy Ebosele,RB,22
Christian Pulisic,RW,26
Fikayo Tomori,CB,26
Tijjani Reijnders,CM,26
Rafael Leão,LW,25
Theo Hernández,LB,27
Emerson,LB,30
Youssouf Fofana,DM,25
Ruben Loftus-Cheek,CM,28
Matteo Gabbia,CB,25
Tammy Abraham,CF,27
Tammy Abraham,CF,27
Álvaro Morata,CF,32
Strahinja Pavlović,CB,23
