player_name,Position,Age
Romano Schmid,AM,24
Jens Stage,CM,27
Felix Agu,RB,25
Marvin Ducksch,CF,30
Anthony Jung,CB,32
Senne Lynen,DM,25
Niklas Stark,CB,29
Marco Friedl,CB,26
Derrick Köhn,LB,25
Julián Malatini,CB,23
Justin Njinmah,RW,23
Keke Maximilian Topp,CF,20
Skelly Alvero,CM,22
Miloš Veljković,CB,29
Leonardo Bittencourt,CM,30
Olivier Deman,LM,24
Oliver Burke,RW,27
Jackson Tchatchoua,RB,23
Darko Lazović,LM,34
Reda Belahyane,DM,20
Diego Coppola,CB,20
Casper Tengstedt,CF,24
Paweł Dawidowicz,CB,29
Ondrej Duda,CM,29
Grigoris Kastanos,AM,26
Giangiacomo Magnani,CB,29
Tomáš Suslov,AM,22
Daniel Bandeira,CM,24
Flavius Daniliuc,CB,23
Abdou Harroui,CM,26
Domagoj Bradarić,LB,24
Daniele Ghilardi,CB,21
Suat Serdar,CM,27
Faride Alidou,LW,23
Davide Faraoni,RB,33
Yllan Okou,CB,21
Stefan Mitrović,LW,22
Abdel Abqar,CB,25
Carlos Vicente,RW,25
Nahuel Tenaglia,RB,28
Manu Sánchez,LB,24
Antonio Blanco,DM,24
Stoichkov,LW,58
Ander Guevara,CM,27
Aleksandar Sedlar,CB,32
Kiké,CB,22
Moussa Diarra,CB,23
Jon Guridi,CM,29
Carlos Benavídez,licensed,XX
Santiago Mouriño,CB,22
Hugo Novoa,RB,21
Abderrahman Rebbach,LW,26
Carlos Martín,AM,42
Asier Villalibre,CF,27
Luka Romero,RW,19
Luis Rioja,LW,31
Luis Rioja,LW,31
Joaquín Panichelli,CF,22
Sebastiaan Bornauw,CB,25
Maximilian Arnold,CM,30
Jakub Kamiński,LW,22
Tiago Tomás,CF,23
Kilian Fischer,RB,24
Cedric Zesiger,CB,26
Ridle Baku,RB,26
Mattias Svanberg,CM,25
Patrick Wimmer,RW,23
Mohamed Amoura,CF,24
Konstantinos Koulierakis,CB,20
Jonas Wind,CF,25
Lovro Majer,AM,26
Salih Özcan,DM,26
Aster Vranckx,CM,22
Denis Vavro,CB,28
Yannick Gerhardt,CM,30
Kevin Behrens,CF,33
Joakim Mæhle,RB,27
Dodô,RB,25
Moise Kean,CF,24
Pietro Comuzzo,CB,19
Andrea Colpani,AM,25
Luca Ranieri,CB,25
Cristiano Biraghi,LB,32
Rolando Mandragora,DM,27
Christian Kouamé,LW,26
Lucas Martínez Quarta,CB,28
Albert Guðmundsson,SS,27
Sofyan Amrabat,DM,28
Yacine Adli,DM,24
Amir Richardson,CM,22
Fabiano Parisi,LB,23
Marin Pongračić,CB,27
Lucas Beltrán,CF,23
Antonín Barák,AM,29
Jonathan Ikone,RW,26
Riccardo Sottil,LW,25
Michael Kayode,RB,20
Alessandro Bianco,CM,22
Alessandro Bianco,CM,22
Matias Moreno,CB,21
Remo Freuler,CM,32
Sam Beukema,CB,25
Santiago Castro,CF,20
Riccardo Orsolini,RW,27
Stefan Posch,RB,27
Dan Ndoye,RW,24
Charalambos Lykogiannis,LB,31
Michel Aebischer,CM,27
Nikola Moro,DM,26
Jhon Lucumí,CB,26
Giovanni Fabbian,AM,21
Martin Erlic,CB,26
Juan Miranda,LB,24
Jens Odgaard,CF,25
Kacper Urbanski,CM,20
Thijs Dallinga,CF,24
Emil Holm,RB,24
Samuel Iling-Junior,LW,21
Nicolò Cambiaghi,SS,23
Benjamín Domínguez,LW,21
Diogo Dalot,RB,25
Kobbie Mainoo,CM,19
Bruno Fernandes,AM,30
Noussair Mazraoui,RB,26
Lisandro Martínez,CB,26
Marcus Rashford,LW,27
Alejandro Garnacho,LW,20
Matthijs de Ligt,CB,25
Joshua Zirkzee,CF,23
Amad Diallo,RW,22
Casemiro,DM,32
Christian Eriksen,CM,32
Harry Maguire,CB,31
Jonny Evans,CB,36
Manuel Ugarte Ribeiro,DM,23
Rasmus Højlund,CF,21
Victor Lindelöf,CB,30
Antony,RW,24
Duje Ćaleta-Car,CB,28
Clinton Mata,RB,31
Abner,LB,24
Maxence Caqueret,CM,24
Ainsley Maitland-Niles,RB,27
Moussa Niakhate,CB,28
Alexandre Lacazette,CF,33
Nemanja Matić,DM,36
Saïd Benrahma,LW,29
Corentin Tolisso,CM,30
Georges Mikautadze,CF,24
Jordan Veretout,CM,31
Malick Fofana,LW,19
Gift Orban,CF,22
Nicolás Tagliafico,LB,32
Ernest Nuamah,RW,20
Rayan Cherki,AM,21
Thiago Almada,AM,23
Tanner Tessmann,DM,23
Sael Kumbedi,RB,19
Orel Mangala,CM,26
Orel Mangala,CM,26
Mama Samba Baldé,CF,28
Mama Samba Baldé,CF,28
Adryelson,CB,26
Warmed Omari,CB,24
Warmed Omari,CB,24
Jeffrey Gouweleeuw,CB,33
Dimitris Giannoulis,LB,29
Elvis Rexhbeçaj,CM,26
Keven Schlotterbeck,CB,27
Kristijan Jakić,DM,27
Maximilian Bauer,CB,24
Phillip Tietz,CF,27
Samuel Essende,CF,26
Marius Wolf,RB,29
Ruben Vargas,LW,26
Arne Maier,CM,25
Mads Pedersen,LB,28
Tim Breithaupt,DM,22
Steve Mounié,CF,30
Fredrik Jensen,AM,27
Arne Engels,CM,21
Chrislain Matsima,CB,22
Yusuf Kabadayı,LW,20
Alexis Claude-Maurice,AM,26
Max Kilman,CB,27
Jarrod Bowen,RW,27
Mohammed Kudus,AM,24
Guido Rodríguez,DM,30
Emerson Palmieri,LB,30
Lucas Paquetá,AM,27
Michail Antonio,CF,34
Konstantinos Mavropanos,CB,26
Aaron Wan-Bissaka,RB,26
Tomáš Souček,DM,29
Edson Álvarez,DM,27
Vladimír Coufal,RB,32
Jean-Clair Todibo,CB,24
Crysencio Summerville,LW,23
Niclas Füllkrug,CF,31
Danny Ings,CF,32
Aaron Cresswell,LB,34
Luis Guilherme,RW,18
Illia Zabarnyi,CB,22
Lewis Cook,CM,27
Antoine Semenyo,RW,24
Marcus Tavernier,LM,25
Milos Kerkez,LB,20
Ryan Christie,CM,29
Evanilson,CF,25
Marcos Senesi,CB,27
Justin Kluivert,LW,25
Adam Smith,RB,33
Julian Araujo,RB,23
Dango Ouattara,LW,22
Dean Huijsen,CB,19
Alex Scott,CM,21
Luis Sinisterra,LW,25
Enes Ünal,CF,27
Philip Billing,CM,28
David Brooks,RW,27
Max Aarons,RB,24
Jaidon Anthony,LW,24
James Hill,CB,22
Hamed Junior Traorè,AM,24
Hamed Junior Traorè,AM,24
Alberto Moreno,LB,32
Gabriel Strefezza,RW,27
Patrick Cutrone,CF,26
Alberto Dossena,CB,26
Máximo Perrone,DM,21
Marc-Oliver Kempf,CB,29
Nicolás Paz,AM,20
Sergi Roberto,CM,32
Alieu Fadera,LW,22
Ignace Van Der Brempt,RB,22
Alessio Iovine,RM,33
Andrea Belotti,CF,30
Lucas Da Cunha,LW,23
Federico Barba,CB,31
Luca Mazzitelli,CM,28
Matthias Braunöder,CM,22
Edoardo Goldaniga,CB,30
Marco Sala,LB,25
Daniele Baselli,CM,32
Yannik Engelhardt,DM,23
Alberto Cerri,CF,28
Alessandro Gabrielloni,CF,30
Simone Verdi,AM,32
Oliver Abildgaard,DM,28
Tommaso Cassandro,RB,24
Carmona,RB,27
Dodi Lukebakio,RW,27
Loïc Bade,CB,24
Nemanja Gudelj,DM,32
Lucien Agoume,DM,22
Adrià Pedrosa,LB,26
Isaac Romero,CF,24
Chidera Ejuke,LW,26
Peque,SS,22
Tanguy Nianzou,CB,22
Djibril Sow,CM,27
Saúl Ñíguez,CM,29
Juanlu Sánchez,RB,21
Marcão,CB,28
Jesús Navas,RB,38
Kike Salas,CB,22
Lucas Ocampos,LW,30
Albert Sambi Lokonga,CM,25
Suso,RW,30
Gonzalo Montiel,RB,27
Pedro Ortiz,CM,24
Abel Ruiz,CF,24
Miguel Gutiérrez,LB,23
Daley Blind,CB,34
Iván Martín,AM,25
David López,CB,35
Yangel Herrera,CM,26
Bryan Gil,LW,23
Viktor Tsyhankov,RW,26
Alejandro Francés,CB,22
Oriol Romeu,DM,33
Arnau Martinez,RB,21
Yaser Asprilla,RW,20
Ladislav Krejčí,CB,25
Jhon Solis,CM,20
Donny van de Beek,CM,27
Portu,RW,32
Juanpe,CB,33
Cristhian Stuani,CF,38
Omar El Hilali,RB,21
Alex Král,CM,26
Carlos Romero,Attack,-
Marash Kumbulla,CB,24
Javi Puado,LW,26
Alejo Véliz,CF,21
Jofre,RW,23
José Gragera,CM,24
Álvaro Tejero,RB,28
Leandro Cabrera,CB,33
Pol Lozano,CM,25
Sergi Gómez,CB,32
Irvin Cardona,CF,27
Álvaro Aguado,CM,28
Fernando Calero,CB,29
Brian Oliván,LB,30
Pere Milla,LW,32
Salvi,RW,34
Azor Matusiwa,DM,26
Ludovic Blas,RW,26
Christopher Wooh,CB,23
Alidu Seidu,CB,24
Adrien Truffert,LB,22
Albert Grønbaek,CM,23
Leo Skiri Østigård,CB,24
Lorenz Assignon,RB,24
Arnaud Kalimuendo,CF,22
Amine Gouiri,CF,24
Hans Hateboer,RB,30
Glen Kamara,CM,29
Baptiste Santamaria,DM,29
Benjamin Bourigeaud,CM,30
Carlos Gómez,RW,22
Jordan James,CM,20
Martín Zubimendi,DM,25
Sergio Gómez,RW,24
Takefusa Kubo,RW,23
Igor Zubeldia,CB,27
Javi López,LB,22
Sheraldo Becker,LW,29
Mikel Oyarzabal,CF,27
Jon Aramburu,RB,22
Beñat Turrientes,CM,22
Nayef Aguerd,CB,28
Luka Sučić,CM,22
Jon Pacheco,CB,23
Brais Méndez,AM,27
Hamari Traoré,RB,32
Aritz Elustondo,CB,30
Ander Barrenetxea,LW,22
Umar Sadiq,CF,27
Aihen Muñoz,LB,27
Álvaro Odriozola,RB,28
Ko Itakura,CB,27
Luca Netz,LB,21
Tim Kleindienst,CF,29
Joe Scally,RB,21
Kevin Stöger,AM,31
Julian Weigl,DM,29
Nico Elvedi,CB,28
Alassane Pléa,CF,31
Philipp Sander,CM,26
Franck Honorat,RW,28
Rocco Reitz,CM,22
Nathan N'Goumou,RW,24
Robin Hack,LW,26
Tomáš Čvančara,CF,24
Marvin Friedrich,CB,28
Florian Neuhaus,CM,27
Stefan Lainer,RB,32
Brendan Chardonnet,CB,29
Kenny Lala,RB,33
Mahdi Camara,CM,26
Ludovic Ajorque,CF,30
Hugo Magnetti,CM,26
Julien Le Cardinal,CB,27
Romain Del Castillo,RW,28
Jordan Amavi,LB,30
Jonas Martin,DM,34
Mathias Pereira Lage,LW,27
Romain Faivre,RM,26
Abdallah Sima,RW,23
Kamory Doumbia,AM,21
Abdoulaye Niakhate Ndiaye,CB,22
Edimilson Fernandes,DM,28
Soumaïla Coulibaly,CB,21
Ibrahim Salah,LW,23
Jérémy Le Douaron,LW,26
Pierre Lees-Melou,DM,31
Hianga Mananga Mbock,CM,24
Gautier Lloris,CB,29
Abdoulaye Touré,DM,30
Christopher Operi,LB,27
Loïc Nego,RB,33
Arouna Sangante,CB,22
Yassine Kechta,CM,22
Josué Casimir,RW,23
Issa Soumaré,LW,24
Oussama Targhalline,CM,22
Etienne Youte Kinkoue,CB,22
Rassoul Ndiaye,CM,22
Daler Kuzyaev,CM,31
Antoine Joujou,LW,21
Yoann Salmier,CB,31
Emmanuel Sabbi,RW,26
Samuel Grandsir,RW,28
Kandet Diawara,LW,24
Dylan Batubinsika,CB,28
Zuriko Davitashvili,RW,23
Mathis Amougou,CM,18
Ibrahim Sissoko,CF,28
Yunis Abdelhamid,CB,37
Mathieu Cafaro,RW,27
Dennis Appiah,RB,32
Pierre Ekwah Elimby,DM,22
Aimen Moueffek,CM,23
Léo Pétrot,CB,27
Mickael Nade,CB,25
Florian Tardieu,CM,32
Lucas Stassin,CF,19
Yvann Macon,RB,26
Lamine Fomba,DM,26
Louis Mouton,DM,22
Benjamin Bouchouari,CM,22
Luis Milla,CM,58
Chrisantus Uche,licensed,XX
Djené,CB,32
Omar Alderete,CB,27
Diego Rico,LB,31
Alex Sola,RW,25
Iglesias,CB,34
Carles Pérez,RW,26
Bertuğ Yıldırım,CF,22
Mauro Arambarri,CM,29
Juan Berrocal,CB,25
Carles Aleñá,CM,26
Jesús Santiago,CM,20
Peter Federico,RW,22
Borja Mayoral,CF,27
Sergi,DM,36
Valentin Rosier,RB,28
Seydouba Cissé,CM,23
Javi Hernández,LB,26
Juan Cruz,CF,29
Jorge Sáenz,CB,27
Darko Brašanac,CM,32
Miguel,RW,30
Yvan Neyou,DM,27
Enric Franquesa,LB,27
Óscar Rodríguez Arnaiz,AM,26
Roberto López,AM,24
Matija Nastasić,CB,31
Renato Tapia,DM,29
Adrià Altimira,RB,23
Aritz Arambarri,CB,26
Munir El Haddadi,RW,29
Dani Raba,RW,29
Julián Chicco,DM,26
Diego,CF,45
Wout Faes,CB,26
James Justin,RB,26
Victor Bernth Kristiansen,LB,21
Wilfred Ndidi,DM,27
Jamie Vardy,CF,37
Harry Winks,DM,28
Caleb Okoli,CB,23
Stephy Mavididi,LW,26
Facundo Buonanotte,AM,19
Jordan Ayew,CF,33
Jordan Ayew,CF,33
Oliver Skipp,DM,24
Abdul Fatawu Issahaku,RW,20
Jannik Vestergaard,CB,32
Bobby Reid,RW,31
Bilal El Khannouss,AM,20
Odsonne Édouard,CF,26
Odsonne Édouard,CF,26
Hamza Choudhury,DM,27
Boubakary Soumaré,DM,25
Kasey McAteer,RW,22
Conor Coady,CB,31
Thomas Cannon,CF,21
Ricardo Pereira,RB,31
Elisha Owusu,DM,26
Lassine Sinayoko,LW,24
Gabriel Osho,CB,26
Jubal,CB,31
Clément Akpa,LB,22
Ki-Jana Hoever,RB,22
Paul Joly,RB,24
Rayan Raveloson,CM,27
Sinaly Diomande,CB,23
Gaëtan Perrin,RW,28
Ado Onaiwu,CF,28
Florian Ayé,CF,27
Gideon Mensah,LB,26
Théo Pellenard,CB,30
Assane Dioussé,DM,27
Adrian Bernabe,CM,23
Botond Balogh,CB,22
Dennis Man,RW,26
Ange-Yoan Bonny,CF,21
Woyo Coulibaly,RB,25
Simon Sohm,CM,23
Valentin Mihaila,LW,24
Emanuele Valeri,LB,25
Enrico Del Prato,RB,24
Alessandro Circati,CB,21
Hernani,CM,30
Matteo Cancellieri,RW,22
Yordan Osorio,CB,30
Nahuel Estévez,DM,28
Pontus Almqvist,RW,25
Gabriel Charpentier,CF,25
Drissa Camara,CM,22
Wylan Cyprien,CM,29
Mandela Keita,DM,22
Gianluca Di Chiara,LB,30
Giovanni Leoni,CB,17
Sebastiano Luperto,CB,28
Gabriele Zappa,RB,24
Roberto Piccoli,CF,23
Yerry Mina,CB,30
Tommaso Augello,LB,30
Zito Luvumbo,CF,22
Răzvan Marin,DM,28
Alessandro Deiola,CM,29
Paulo Azzi,LB,30
Nadir Zortea,RM,25
Antoine Makoumbou,DM,26
Matteo Prati,DM,20
Nicolas Viola,LW,33
Adam Obert,CB,22
Mateusz Wieteska,CB,27
Leonardo Pavoletti,CF,35
Gianluca Lapadula,CF,34
Mattia Felici,LW,23
Pantelis Hatzidiakos,CB,27
Jakub Jankto,LM,28
Gastón Pereiro,AM,29
Rasmus Nicolaisen,CB,27
Yann Gboho,LW,23
Vincent Sierro,CM,29
Cristian Cásseres Jr.,CM,24
Zakaria Aboukhlal,RW,24
Aron Dønnum,RW,26
Mark McKenzie,CB,25
Waren Kamanzi,RB,23
Djibril Sidibé,RB,32
Frank Magri,CF,25
Gabriel Suazo,LB,27
Shavy Babicka,RW,24
Niklas Schmidt,CM,26
Mamady Bangré,RW,23
James Tarkowski,CB,31
Dwight McNeil,LW,24
Dominic Calvert-Lewin,CF,27
Michael Keane,CB,31
Iliman Ndiaye,CF,24
Jack Harrison,RW,27
Ashley Young,LB,39
Abdoulaye Doucouré,CM,31
Vitaliy Mykolenko,LB,25
Tim Iroegbunam,CM,21
Idrissa Gana Gueye,CM,35
James Garner,DM,23
Jesper Lindstrøm,AM,24
Jarrad Branthwaite,CB,22
Séamus Coleman,RB,36
Beto,CF,26
Jake O'Brien,CB,23
Mason Holgate,CB,28
Federico Baschirotto,CB,28
Gaspar,CB,33
Antonino Gallo,LB,24
Nikola Krstović,CF,24
Ylber Ramadani,DM,28
Patrick Dorgu,LW,20
Balthazar Pierret,DM,24
Tete Morente,LW,27
Frederic Guilbert,RB,29
Lassana Coulibaly,CM,28
Lameck Banda,LW,23
Hamza Rafia,CM,25
Valentin Gendrey,RB,24
Valentin Gendrey,RB,24
Remi Oudin,AM,27
Gaby Jean,CB,24
Andy Pelmard,CB,24
Þórir Jóhann Helgason,CM,24
Nicola Sansone,LW,33
Koni De Winter,CB,22
Johan Vásquez,CB,26
Aarón Martín,LB,27
Morten Frendrup,CM,23
Milan Badelj,DM,35
Andrea Pinamonti,CF,25
Mattia Bani,CB,30
Stefano Sabelli,RB,31
Alessandro Zanoli,RB,24
Alessandro Vogliacco,CB,26
Junior Messias,RW,33
Morten Thorsby,CM,28
Ruslan Malinovskyi,AM,31
Caleb Ekuban,CF,30
Fabio Miretti,CM,21
Emil Bohinen,DM,25
Filippo Melegoni,CM,25
Brooke Norton-Cuffy,RB,20
Alessandro Marcandalli,CB,22
Patrizio Masini,CM,23
Jackson Irvine,CM,31
Karol Mets,CB,31
Hauke Wahl,CB,30
Philipp Treu,RB,23
Eric Smith,CB,27
Johannes Eggestein,CF,26
Robert Wagner,CM,21
Elias Saad,LW,24
Oladapo Afolayan,RW,27
Manolis Saliakas,RB,28
Morgan Guilavogui,CF,26
Lars Ritzka,LB,26
Connor Metcalfe,CM,24
Adam Dźwigała,CB,29
Cristhian Mosquera,CB,20
José Luis García Vayá,DM,26
Diego López,RW,22
Thierry Correia,RB,25
César Tárrega,CB,22
Jesus Vazquez,LB,21
Hugo Duro,CF,24
Domingos André Ribeiro Almeida,AM,24
Javier Guerra,CM,21
Dimitri Foulquier,RB,31
Hugo Guillamón,DM,24
Dani Gómez,CF,26
Yarek Gasiorowski,CB,19
Rafa Mir,CF,27
Enzo Barrenechea,DM,23
Sergi Canós,RW,27
Francisco Perez,RW,22
Germán Valera,RW,22
Maximiliano Caufriez,CB,27
Cenk Özkacar,CB,24
Cenk Özkacar,CB,24
Modibo Sagnan,CB,25
Téji Savanier,AM,32
Falaye Sacko,RB,29
Akor Adams,CF,24
Arnaud Nordin,RW,26
Becir Omeragic,CB,22
Joris Chotard,DM,23
Enzo Tchato,RB,21
Tanguy Coulibaly,RW,23
Jordan Ferri,CM,32
Khalil Fayad,CM,20
Lucas Mincarelli,LB,20
Wahbi Khazri,LW,33
Musa Al-Taamari,RW,27
Boubakar Kouyaté,CB,27
Issiaga Sylla,LB,30
Gabriel Bares,DM,24
Kevin Akpoguma,CB,29
Alexander Prass,LM,23
Marius Bülter,LW,31
Anton Stach,CM,25
Pavel Kadeřábek,RB,32
Andrej Kramarić,CF,33
Tim Drexler,CB,19
Adam Hložek,SS,22
Florian Grillitsch,DM,29
Tom Bischof,AM,19
Grischa Prömel,CM,29
Umut Tohumcu,CM,20
Robin Hranáč,CB,24
Stanley N'Soki,CB,25
Jacob Bruun Larsen,LW,26
Haris Tabakovic,CF,30
David Jurásek,LB,24
Gaetano Oristanio,AM,22
Francesco Zampano,LB,31
Michael Svoboda,CB,26
Antonio Candela,RB,24
Jay Idzes,CB,24
Mikael Ellertsson,CM,22
Joel Pohjanpalo,CF,30
Marin Šverko,CB,26
Gianluca Busio,CM,22
Alfred Duncan,CM,31
Hans Nicolussi Caviglia,CM,24
Magnus Kofod Andersen,CM,25
Ridgeciano Haps,LB,31
Giorgio Altare,CB,26
Christian Gytkjær,CF,34
Joël Schingtienne,CB,22
Richie Sagrado,RB,20
Nicholas Pierini,RW,26
Antonio Raimondo,CF,20
Domen Črnigoj,CM,28
Nunzio Lella,CM,24
Franco Carboni,LB,21
Lorenzo Lucchesi,CB,21
Leif Davis,LB,24
Jacob Greaves,CB,24
Sam Morsy,CM,33
Omari Hutchinson,RW,21
Liam Delap,CF,21
Axel Tuanzebe,CB,26
Dara O'Shea,CB,25
Sammie Szmodics,AM,29
Kalvin Phillips,DM,28
Wes Burns,RW,29
Luke Woolfenden,CB,26
Jack Clarke,LW,23
Ben Johnson,RB,24
Chiedozie Ogbene,RW,27
Massimo Luongo,CM,32
Conor Chaplin,SS,27
Jens Cajuste,DM,25
Jack Taylor,CM,26
George Hirst,CF,25
Marcus Harness,LW,28
George Edmundson,CB,27
Cameron Burgess,CB,29
Harry Clarke,RB,23
Conor Townsend,LB,31
Lucas Oliveira Rosa,RB,24
Luis Pérez,CF,-
Eray Cömert,CB,26
Kike Pérez,CM,27
Selim Amallah,AM,27
Raúl Moro,LW,21
Stanko Jurić,DM,28
Amath,RW,28
Darwin Machís,LW,31
Juanmi Latasa,CF,23
David Torres,CB,21
Javi Sánchez,CB,27
Iván Sánchez,CF,44
Víctor Meseguer,CM,25
Mamadou Sylla,CF,30
Anuar,LW,29
Kenedy,LW,28
César de la Hoz,DM,32
Giorgos Kyriakopoulos,LM,28
Pablo Marí,CB,31
Armando Izzo,CB,32
Matteo Pessina,CM,27
Daniel Maldini,AM,23
Warren Bondo,CM,21
Milan Đurić,CF,34
Andrea Carboni,CB,23
Pedro Pereira,CF,31
Dany Mota,SS,26
Luca Caldirola,CB,33
Andrea Petagna,CF,29
Samuele Birindelli,RB,25
Roberto Gagliardini,CM,30
Danilo D'Ambrosio,CB,36
Patrick Ciurria,RM,29
Marco D'Alessandro,RW,33
Mattia Valoti,CM,31
Marc Guéhi,CB,24
Eberechi Eze,AM,26
Tyrick Mitchell,LB,25
Daniel Muñoz,RB,28
Adam Wharton,DM,20
Jean-Philippe Mateta,CF,27
Daichi Kamada,AM,28
Maxence Lacroix,CB,24
Chris Richards,CB,24
Jefferson Lerma,DM,30
Will Hughes,CM,29
Nathaniel Clyne,RB,33
Ismaila Sarr,RW,26
Chadi Riad,CB,21
Trevoh Chalobah,CB,25
Jeffrey Schlupp,LM,31
Joel Ward,RB,35
Jordan Lefort,CB,31
Himad Abdelli,AM,24
Carlens Arcus,RB,28
Jean-Eudes Aholou,DM,30
Florent Hanin,LB,34
Farid El Melali,LW,27
Cédric Hountondji,CB,30
Abdoulaye Bamba,CB,34
Jacques Ekomie,LB,21
Jim Allevinah,RW,29
Bamba Dieng,CF,24
Zinedine Ferhat,RW,31
Pierrick Capelle,CM,37
Esteban Lepaul,CF,24
Lilian Raolisoa,RB,24
Zinédine Ould Khaled,DM,24
Lois Diony,CF,31
Joseph Lopy,CM,32
Alberto Moleiro,AM,21
Kirian Rodríguez,AM,28
Oliver McBurnie,CF,28
Javier Muñoz,SS,44
Álex Suárez,CB,31
Álex Muñoz,LB,30
Mika Màrmol,CB,23
Marvin,LB,32
Sandro Ramírez,CF,29
Scott McKenna,CB,27
Juan Herzog,licensed,XX
Fábio Silva,CF,22
Dario Essugo,DM,19
Viti,CM,24
Enzo Loiodice,CM,23
Jaime Mata,CF,36
Benito Ramírez,LW,29
Manuel Fuster,LW,27
Marc Cardona,CF,29
Iván Gil,AM,24
Timo Becker,CB,27
Magnus Knudsen,CM,23
Lewis Holtby,CM,34
Benedikt Pichler,CF,27
Finn Porath,AM,27
Shuto Machino,CF,25
Carl Johansson,CB,30
Patrick Erras,DM,29
Marko Ivezić,DM,22
Alexander Bernhardsson,RW,26
Tymoteusz Puchacz,LB,25
Marco Komenda,CB,27
Nicolai Remberg,CM,24
Steven Skrzybski,AM,31
Jann-Fiete Arp,CF,24
Marvin Schulz,DM,29
Felix Passlack,RB,26
Maximilian Wittek,LB,29
Jakov Medić,CB,26
Ibrahima Sissoko,DM,27
Matúš Bero,CM,29
Dani de Wit,AM,26
Philipp Hofmann,CF,31
Anthony Losilla,DM,38
Erhan Mašović,CB,25
Moritz Broschinski,CF,24
Lukas Daschner,AM,26
Tim Oermann,CB,21
Ivan Ordets,CB,32
Koji Miyoshi,RM,27
Cristian Gamboa,RB,35
Flynn Downes,DM,25
Jan Bednarek,CB,28
Yukinari Sugawara,RB,24
Taylor Harwood-Bellis,CB,22
Kyle Walker-Peters,RB,27
Ben Brereton,CF,25
Mateus Fernandes,CM,20
Joe Aribo,CM,28
Jack Stephens,CB,30
Adam Armstrong,CF,27
William Smallbone,CM,24
Cameron Archer,CF,22
Charlie Taylor,LB,31
Ryan Fraser,LW,30
Adam Lallana,AM,36
Ryan Manning,LB,28
Samuel Edozie,LW,21
Carlos Alcaraz,CM,21
James Bree,RB,26
Nathan Wood-Gordon,CB,22
Mario Lemina,DM,31
João Gomes,CM,23
Jørgen Strand Larsen,CF,24
Rayan Aït-Nouri,LB,23
Matheus Cunha,CF,25
Jean-Ricner Bellegarde,CM,26
Toti Gomes,CB,25
Yerson Mosquera,CB,23
Nélson Semedo,RB,30
Craig Dawson,CB,34
André,CM,40
Hwang Hee-chan,CF,28
Matt Doherty,RB,32
Rodrigo Gomes,RM,21
Carlos Forbs,LW,20
Santiago Bueno,CB,25
Gonçalo Guedes,LW,27
Tommy Doyle,CM,23
Daniel Podence,RW,29
Pablo Sarabia,RW,32
Boubacar Traoré,DM,23
Toni Kroos,CM,34
